timestamp_ns,phase,event,value,ptr,size
485320853165,MEMORY,free_unknown,0,0x5dedc30d2990,0
485320856536,MEMORY,alloc,6968,0x5dedc31a08f0,6968
485320867721,MEMORY,alloc,57,0x5dedc30d2990,57
485320867874,MEMORY,alloc,72,0x5dedc31a2430,72
485320868002,MEMORY,alloc,57,0x5dedc31a2480,57
485320869602,MEMORY,free_unknown,0,0x5dedc30d2990,0
485320872470,MEMORY,alloc,6904,0x5dedc31a24d0,6904
485320873626,MEMORY,alloc,57,0x5dedc30d2990,57
485320876359,MEMORY,alloc,72,0x5dedc31a3fd0,72
485320876515,MEMORY,alloc,57,0x5dedc31a4020,57
485320878768,MEMORY,free_unknown,0,0x5dedc30d2990,0
485320881595,MEMORY,alloc,6904,0x5dedc31a4070,6904
485320882790,MEMORY,alloc,57,0x5dedc30d2990,57
485320882919,MEMORY,alloc,72,0x5dedc31a5b70,72
485320883042,MEMORY,alloc,57,0x5dedc31a5bc0,57
485320885137,MEMORY,free_unknown,0,0x5dedc30d2990,0
485320889265,MEMORY,alloc,6904,0x5dedc31a5c10,6904
485320893185,MEMORY,alloc,57,0x5dedc30d2990,57
485320893313,MEMORY,alloc,72,0x5dedc31a7710,72
485320893438,MEMORY,alloc,57,0x5dedc31a7760,57
485320895093,MEMORY,free_unknown,0,0x5dedc30d2990,0
485320898048,MEMORY,alloc,6904,0x5dedc31a77b0,6904
485320901438,MEMORY,alloc,57,0x5dedc30d2990,57
485320901566,MEMORY,alloc,72,0x5dedc31a92b0,72
485320901688,MEMORY,alloc,57,0x5dedc31a9300,57
485320903963,MEMORY,free_unknown,0,0x5dedc30d2990,0
485320906816,MEMORY,alloc,6904,0x5dedc31a9350,6904
485320908105,MEMORY,alloc,57,0x5dedc30d2990,57
485320908234,MEMORY,alloc,72,0x5dedc31aae50,72
485320908359,MEMORY,alloc,57,0x5dedc31aaea0,57
485320910612,MEMORY,free_unknown,0,0x5dedc30d2990,0
485320913583,MEMORY,alloc,6904,0x5dedc31aaef0,6904
485320917043,MEMORY,alloc,57,0x5dedc30d2990,57
485320917172,MEMORY,alloc,72,0x5dedc31ac9f0,72
485320917297,MEMORY,alloc,57,0x5dedc31aca40,57
485320919393,MEMORY,free_unknown,0,0x5dedc30d2990,0
485320922358,MEMORY,alloc,5192,0x5dedc31aca90,5192
485320923530,MEMORY,alloc,48,0x5dedc24f0b40,48
485320923646,MEMORY,alloc,72,0x5dedc30d2990,72
485320923792,MEMORY,alloc,48,0x5dedc31adee0,48
485320926254,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485320929242,MEMORY,alloc,5192,0x5dedc31adf20,5192
485320932647,MEMORY,alloc,48,0x5dedc24f0b40,48
485320932800,MEMORY,alloc,72,0x5dedc31af370,72
485320932919,MEMORY,alloc,48,0x5dedc31af3c0,48
485320935124,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485320943440,MEMORY,alloc,5128,0x5dedc31af400,5128
485320944299,MEMORY,alloc,48,0x5dedc24f0b40,48
485320947087,MEMORY,alloc,72,0x5dedc31b0810,72
485320947212,MEMORY,alloc,48,0x5dedc31b0860,48
485320952646,MEMORY,alloc,8872,0x5dedc31b08a0,8872
485321059216,MEMORY,free_unknown,0,0x5dedc2c24920,0
485321061608,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321083725,MEMORY,alloc,5128,0x5dedc31b2b50,5128
485321084899,MEMORY,alloc,48,0x5dedc24f0b40,48
485321085443,MEMORY,alloc,72,0x5dedc2c24920,72
485321085671,MEMORY,alloc,48,0x5dedc2c24970,48
485321088155,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321092256,MEMORY,alloc,5128,0x5dedc31b3f60,5128
485321096934,MEMORY,alloc,48,0x5dedc24f0b40,48
485321097359,MEMORY,alloc,72,0x5dedc2c249b0,72
485321097679,MEMORY,alloc,48,0x5dedc2c24a00,48
485321100779,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321104888,MEMORY,alloc,5128,0x5dedc31b5370,5128
485321107550,MEMORY,alloc,48,0x5dedc24f0b40,48
485321107846,MEMORY,alloc,72,0x5dedc2c24a40,72
485321108037,MEMORY,alloc,48,0x5dedc2c24a90,48
485321111079,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321115805,MEMORY,alloc,5128,0x5dedc31b6780,5128
485321117020,MEMORY,alloc,48,0x5dedc24f0b40,48
485321117337,MEMORY,alloc,72,0x5dedc2c24ad0,72
485321117559,MEMORY,alloc,48,0x5dedc2c24b20,48
485321121095,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321124787,MEMORY,alloc,5128,0x5dedc31b7b90,5128
485321125984,MEMORY,alloc,48,0x5dedc24f0b40,48
485321126141,MEMORY,alloc,72,0x5dedc2c24b60,72
485321126266,MEMORY,alloc,48,0x5dedc2c24bb0,48
485321128255,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321131244,MEMORY,alloc,5616,0x5dedc31b8fa0,5616
485321134672,MEMORY,alloc,48,0x5dedc24f0b40,48
485321134824,MEMORY,alloc,72,0x5dedc2c24bf0,72
485321134953,MEMORY,alloc,48,0x5dedc2c24c40,48
485321136755,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321139595,MEMORY,alloc,5616,0x5dedc31ba5a0,5616
485321140567,MEMORY,alloc,48,0x5dedc24f0b40,48
485321140744,MEMORY,alloc,72,0x5dedc2c24c80,72
485321140869,MEMORY,alloc,48,0x5dedc2c24cd0,48
485321142782,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321353975,MEMORY,alloc,5552,0x5dedc31bbba0,5552
485321358239,MEMORY,alloc,48,0x5dedc24f0b40,48
485321358757,MEMORY,alloc,72,0x5dedc2c24d10,72
485321358944,MEMORY,alloc,48,0x5dedc2c24d60,48
485321362492,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321365899,MEMORY,alloc,5552,0x5dedc31bd160,5552
485321367828,MEMORY,alloc,48,0x5dedc24f0b40,48
485321367996,MEMORY,alloc,72,0x5dedc2c24da0,72
485321368119,MEMORY,alloc,48,0x5dedc2c24df0,48
485321370118,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321373202,MEMORY,alloc,5552,0x5dedc31be720,5552
485321374555,MEMORY,alloc,48,0x5dedc24f0b40,48
485321374832,MEMORY,alloc,72,0x5dedc2c24e30,72
485321374955,MEMORY,alloc,48,0x5dedc2c24e80,48
485321376757,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321389808,MEMORY,alloc,5552,0x5dedc31bfce0,5552
485321395468,MEMORY,alloc,48,0x5dedc24f0b40,48
485321395854,MEMORY,alloc,72,0x5dedc2c24ec0,72
485321396099,MEMORY,alloc,48,0x5dedc2c24f10,48
485321399492,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321413775,MEMORY,alloc,5552,0x5dedc31c12a0,5552
485321415178,MEMORY,alloc,48,0x5dedc24f0b40,48
485321415517,MEMORY,alloc,72,0x5dedc2c24f50,72
485321415717,MEMORY,alloc,48,0x5dedc2c24fa0,48
485321419706,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321423198,MEMORY,alloc,5552,0x5dedc31c2860,5552
485321424333,MEMORY,alloc,48,0x5dedc24f0b40,48
485321424603,MEMORY,alloc,72,0x5dedc2c24fe0,72
485321424723,MEMORY,alloc,48,0x5dedc2c25030,48
485321427182,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321430147,MEMORY,alloc,5792,0x5dedc31c3e20,5792
485321433626,MEMORY,alloc,48,0x5dedc24f0b40,48
485321433833,MEMORY,alloc,72,0x5dedc2c25070,72
485321433958,MEMORY,alloc,48,0x5dedc2c250c0,48
485321436004,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321439042,MEMORY,alloc,5792,0x5dedc31c54d0,5792
485321440372,MEMORY,alloc,48,0x5dedc24f0b40,48
485321440573,MEMORY,alloc,72,0x5dedc2c25100,72
485321440698,MEMORY,alloc,48,0x5dedc2c25150,48
485321442675,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321445642,MEMORY,alloc,5728,0x5dedc31c6b80,5728
485321449461,MEMORY,alloc,48,0x5dedc24f0b40,48
485321449654,MEMORY,alloc,72,0x5dedc2c25190,72
485321449775,MEMORY,alloc,48,0x5dedc2c251e0,48
485321452164,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321458661,MEMORY,alloc,5728,0x5dedc31c81f0,5728
485321460291,MEMORY,alloc,48,0x5dedc24f0b40,48
485321460511,MEMORY,alloc,72,0x5dedc2c25220,72
485321460635,MEMORY,alloc,48,0x5dedc2c25270,48
485321463107,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321466322,MEMORY,alloc,5728,0x5dedc31c9860,5728
485321467527,MEMORY,alloc,48,0x5dedc24f0b40,48
485321467713,MEMORY,alloc,72,0x5dedc2c252b0,72
485321467837,MEMORY,alloc,48,0x5dedc2c25300,48
485321470116,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321473049,MEMORY,alloc,5728,0x5dedc31caed0,5728
485321476350,MEMORY,alloc,48,0x5dedc24f0b40,48
485321476573,MEMORY,alloc,72,0x5dedc2c25340,72
485321476691,MEMORY,alloc,48,0x5dedc2c25390,48
485321478746,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321482093,MEMORY,alloc,5728,0x5dedc31cc540,5728
485321483111,MEMORY,alloc,48,0x5dedc24f0b40,48
485321483290,MEMORY,alloc,72,0x5dedc2c253d0,72
485321483413,MEMORY,alloc,48,0x5dedc2c25420,48
485321485555,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321488344,MEMORY,alloc,5728,0x5dedc31cdbb0,5728
485321492090,MEMORY,alloc,48,0x5dedc24f0b40,48
485321492273,MEMORY,alloc,72,0x5dedc2c25460,72
485321492398,MEMORY,alloc,48,0x5dedc2c254b0,48
485321494502,MEMORY,free_unknown,0,0x5dedc24f0b40,0
485321495353,MEMORY,alloc,21,0x5dedc24f3e10,21
485321496961,MEMORY,alloc,64,0x5dedc2c254f0,64
485321497364,MEMORY,alloc,480,0x5dedc2c25540,480
485321498461,MEMORY,alloc,96,0x5dedc24f1d40,96
485321714574,MEMORY,alloc,24,0x5dedc2c25730,24
485321715351,MEMORY,alloc,104,0x5dedc2c25750,104
485321716405,MEMORY,alloc,24,0x5dedc2c257c0,24
485321716772,MEMORY,alloc,24,0x5dedc2c257e0,24
485321716962,MEMORY,alloc,24,0x5dedc2c25800,24
485321717272,MEMORY,alloc,24,0x5dedc2c25820,24
485321717487,MEMORY,alloc,24,0x5dedc2c25840,24
485321717764,MEMORY,alloc,24,0x5dedc2c25860,24
485321717997,MEMORY,alloc,24,0x5dedc2c25880,24
485321718317,MEMORY,alloc,24,0x5dedc2c258a0,24
485321718623,MEMORY,alloc,24,0x5dedc2c258c0,24
485321718905,MEMORY,alloc,24,0x5dedc2c258e0,24
485321719317,MEMORY,alloc,24,0x5dedc2c25900,24
485321719613,MEMORY,alloc,24,0x5dedc2c25920,24
485321719916,MEMORY,alloc,24,0x5dedc2c25940,24
485321720706,MEMORY,alloc,232,0x5dedc24f3670,232
485321725240,MEMORY,free_unknown,0,0x5dedc2c25750,0
485321725678,MEMORY,alloc,24,0x5dedc2c25960,24
485321726073,MEMORY,alloc,24,0x5dedc2c25980,24
485321726310,MEMORY,alloc,24,0x5dedc2c259a0,24
